,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
1606,Fbxo6,Npw,Ttc25,Dusp14l1,,,Ubr4,,
1607,Fbxo7,Npy,Ttc29,Dusp27,,,Ubr5,,
1608,Fbxw2,Npy1r,Ttll5,Dusp7,,,Ubtd2,,
1609,Fbxw4,Nr1d2,Ttll6,Dusp9,,,Ubxn1,,
1610,Fbxw8,Nr1h3,Ttpal,Dvl2,,,Ubxn11,,
1611,Fcer1g,Nr1h4,Tyk2,Dym,,,Ubxn6,,
1612,Fcf1,Nr1i3,Tyw1,Dync1i1,,,Uchl1,,
1613,Fcgbp,Nr2f2,Uaca,Dyx1c1,,,Uchl5,,
1614,Fcgr1a,Nr5a2,Ubash3b,Dzf17,,,Uggt1,,
1615,Fcgrt,Nrep,Ube2h,Dzip1-ps1,,,Uhrf1,,
1616,Fcna,Nrp2,Ube2q2,E130116L18Rik,,,Umps,,
1617,Fcrl2,Nrxn2,Ube2s,E2f7,,,Ung,,
1618,Fdps,Nsd3,Ube2z,ENSRNOG00000027296,,,Usp11,,
1619,Fdxacb1,Nsun2,Ube3a,ENSRNOG00000059050,,,Usp12,,
1620,Fem1a,Nsun3,Ubiad1,ENSRNOG00000059093,,,Usp3,,
1621,Fem1c,Nsun5,Ubl4a,Eaf2,,,Usp33,,
1622,Fen1,Nt5c,Ubqln2,Ears2,,,Usp34,,
1623,Fgd3,Nt5c1b,Ugt2b35,Ebag9,,,Usp42,,
1624,Fgd4,Nt5dc2,Uimc1,Ebf1,,,Vac14,,
1625,Fgd5,Nt5dc3,Ulk1,Ebf4,,,Vamp3,,
1626,Fgf11,Ntpcr,Umodl1,Edar,,,Vamp4,,
1627,Fgf12,Nucks1,Unc13b,Eddm3b,,,Vav2,,
1628,Fgf21,Nudcd3,Unc50,Edem3,,,Vcl,,
1629,Fgfr1op2,Nudt14,Unk,Edil3,,,Vcp,,
1630,Fgfr4,Nudt17,Uqcr10,Edn1,,,Vdac3,,
1631,Fhad1,Nudt18,Uri1,Eed,,,Vegfa,,
1632,Fhl4,Nudt3,Usb1,Eef1d,,,Vegfb,,
1633,Fhod3,Nudt6,Usf1,Eef2kmt,,,Vgll4,,
1634,Filip1,Nudt7,Usp40,Efcab11,,,Vipas39,,
1635,Filip1l,Numbl,Usp43,Efcab6,,,Vnn1,,
1636,Fitm1,Nup37,Usp5,Efcab7,,,Vps28,,
1637,Fkbp15,Nupr1,Usp9x,Efcab9,,,Vps36,,
1638,Fkbp1a,Nupr1l1,Uts2b,Efemp2,,,Vps52,,
1639,Fkbp1b,Nwd1,Vamp5,Efhc2,,,Vrk3,,
1640,Fkbp2,Nxnl2,Vash2,Efl1,,,Vta1,,
1641,Fkbp3,Nxpe1,Vault,Efna4,,,Vwa3b,,
1642,Fkbp8,Oasl,Vcan,Eftud2,,,Wapl,,
1643,Fktn,Oaz2,Vil1,Egfem1,,,Washc1,,
1644,Flad1,Obsl1,Vom1r100,Egfl6,,,Wbp1,,
1645,Flot2,Ocel1,Vom1r22,Egfl8,,,Wbscr22,,
1646,Flt1,Ociad2,Vom2r1,Egfr,,,Wdfy4,,
1647,Flt3lg,Ocstamp,Vom2r23,Egln3,,,Wdhd1,,
1648,Fmc1,Ogfod2,Vom2r25,Egr1,,,Wdr11,,
1649,Fmnl3,Olah,Vom2r3,Egr4,,,Wdr18,,
1650,Fn1,Olfm2,Vom2r9,Ehbp1,,,Wdr24,,
1651,Fn3k,Olr1393,Vps18,Ehd3,,,Wdr35,,
1652,Fnbp1,Olr1463,Vps41,Ei24,,,Wdr43,,
1653,Fnbp1l,Olr1644,Vps72,Eif2a,,,Wdr45b,,
1654,Fndc1,Olr836,Wars,Eif2ak2,,,Wdr55,,
1655,Fndc3c1,Olr854,Wbp11l1,Eif2ak3,,,Wdr83,,
1656,Folr2,Omg,Wbp2,Eif2ak4,,,Wdtc1,,
1657,Fopnl,Opa3,Wdcp,Eif2b1,,,Wfs1,,
1658,Foxa2,Optc,Wdr34,Eif2s3y,,,Whamm,,
1659,Foxj2,Optn,Wdr7,Eif3l,,,Wrb,,
1660,Foxk2,Orai1,Wdr92,Eif4a2,,,Xpo1,,
1661,Foxn3,Osbpl10,Wfdc15b,Elac2,,,Xpo5,,
1662,Foxo1,Osbpl11,Wisp1,Elf3,,,Xrn2,,
1663,Foxo3,Osbpl6,Wnk4,Ell3,,,Xylt1,,
1664,Fras1,Oscar,Wnt2b,Elmo1,,,Yif1b,,
1665,Frem2,Osr1,Wnt9a,Eloa,,,Yipf5,,
1666,Frg1,Otud3,Wrap73,Elovl3,,,Yipf6,,
1667,Frs3,P2rx2,Wscd1,Elovl7,,,Ylpm1,,
1668,Fscn1,P2ry10,Wwc3,Elp6,,,Yme1l1,,
1669,Fsd1,P3h2,Xdh,Eme1,,,Ywhae,,
1670,Fsip1,P4ha2,Xirp2,Emilin3,,,Ywhaz,,
1671,Fth1,P4ha3,Yae1d1,Eml4,,,Zbtb17,,
1672,Ftl1l1,Pacrgl,Yipf4,Eml6,,,Zc3h4,,
1673,Ftsj1,Padi6,Ythdc1,Emsy,,,Zc3hc1,,
1674,Ftsj3,Pafah2,Ywhah,Emx2,,,Zcchc11,,
1675,Fubp1,Paip2l1,Zbed4,Enah,,,Zcchc17,,
1676,Fubp3,Pak3,Zbtb26,Endog,,,Zcchc2,,
1677,Fuca1,Pak6,Zbtb45,Endou,,,Zdhhc13,,
1678,Fuca2,Pak7,Zcchc24,Eno3,,,Zdhhc16,,
1679,Fuom,Palm2,Zeb2,Enoph1,,,Zdhhc21,,
1680,Furin,Pank1,Zfand5,Enpp1,,,Zfp148,,
1681,Fut4,Panx1,Zfp251,Ep300,,,Zfp161,,
1682,Fut8,Papd7,Zfp280d,Epb41l4a,,,Zfp18,,
1683,Fxr1,Papss1,Zfp282,Epg5,,,Zfp219,,
1684,Fxr2,Parp14,Zfp296,Epha3,,,Zfp236,,
1685,Fxyd1,Parpbp,Zfp341,Epha5,,,Zfp266,,
1686,Fxyd2,Patj,Zfp347,Epha6,,,Zfp275,,
1687,Fxyd5,Pax1,Zfp354c,Epha7,,,Zfp36l2,,
1688,Fxyd6,Paxip1,Zfp36l1,Ephb2,,,Zfp385d,,
1689,Fyco1,Pbld1,Zfp428,Ephb3,,,Zfp407,,
1690,Fyn,Pcdh1,Zfp663,Ephb6,,,Zfp41,,
1691,Fzd3,Pcdh12,Zfp746,Ephx3,,,Zfp410,,
1692,Fzd4,Pcdh8,Zfp874b,Epn3,,,Zfp422,,
1693,Fzd8,Pcdhb21,Zfp949,Epo,,,Zfp423,,
1694,G2e3,Pcdhb5,Zim1,Eprs,,,Zfp449,,
1695,G3bp1,Pcdhb9,Zmat1,Eps8,,,Zfp451,,
1696,Gab2,Pcdhga10,Zmym4,Epyc,,,Zfp526,,
1697,Gabarapl2,Pcdhga4,Znf48,Erap1,,,Zfp592,,
1698,Gabpb2,Pcdhga7,Zufsp,Erc1,,,Zfp598,,
1699,Gabra1,Pcdhga8,Zyx,Ercc2,,,Zfp618,,
1700,Gadd45a,Pcdhgb5,pRNA,Ercc6l,,,Zfp639,,
1701,Gak,Pcgf3,snoU6-53,Eri2,,,Zfp672,,
1702,Gal,Pcgf6,snoU83B,Eri3,,,Zfp952,,
1703,Galm,Pcmtd2,,Erich1,,,Zfpm1,,
1704,Galnt2,Pcnx3,,Erlin2,,,Zfx,,
1705,Ganab,Pcnx4,,Ermap,,,Zfyve21,,
1706,Ganc,Pcp4l1,,Ermard,,,Zkscan3,,
1707,Gapvd1,Pde10a,,Ermp1,,,Zmiz1,,
1708,Gar1,Pde4a,,Ero1a,,,Zmpste24,,
1709,Gars,Pde4b,,Erp27,,,Zmym5,,
1710,Gas6,Pde5a,,Erp44,,,Zmynd11,,
1711,Gas7,Pde7b,,Ervfrd-1,,,Zyg11b,,
1712,Gatad1,Pde8a,,Esco2,,,hist1h2ail2,,
1713,Gbas,Pdlim2,,Espn,,,rnf141,,
1714,Gbp2,Pdp1,,Espnl,,,,,
1715,Gbp5,Pdzd4,,Esx1,,,,,
1716,Gcdh,Pdzrn4,,Esyt2,,,,,
1717,Gchfr,Peli3,,Etaa1,,,,,
1718,Gcnt1,Pfkfb2,,Etfrf1,,,,,
1719,Gcnt3,Pfkp,,Ethe1,,,,,
1720,Gcsh,Pfn4,,Etnppl,,,,,
1721,Gdap1,Pgap1,,Ets1,,,,,
1722,Gdap2,Pggt1b,,Etv1,,,,,
1723,Gdi2,Pgp,,Eva1c,,,,,
1724,Gem,Pgrmc2,,Evi5l,,,,,
1725,Gemin2,Phf1,,Evpl,,,,,
1726,Gemin6,Phf10,,Exd1,,,,,
1727,Gemin8,Phf11b,,Exo1,,,,,
1728,Gen1,Phf14,,Exo5,,,,,
1729,Gga1,Phlda3,,Exoc3l2,,,,,
1730,Gga2,Phyhd1,,Exoc4,,,,,
1731,Gga3,Phyhipl,,Exoc5,,,,,
1732,Ggps1,Pias4,,Exoc6b,,,,,
1733,Gimap9,Picalm,,Exoc8,,,,,
1734,Gin1,Pigy,,Exosc4,,,,,
1735,Gins3,Pik3ap1,,Exosc6,,,,,
1736,Giot1,Pik3c2g,,Exph5,,,,,
1737,Gipc1,Pik3r1,,Extl2,,,,,
1738,Gipc2,Pik3r6,,Eya1,,,,,
1739,Git1,Pip5k1c,,Eya2,,,,,
1740,Gk,Pir,,F12,,,,,
1741,Gk5,Pitpna,,F2,,,,,
1742,Gkap1,Piwil2,,F2rl2,,,,,
1743,Gli1,Piwil4,,F2rl3,,,,,
1744,Glipr1,Pkd1l3,,F3,,,,,
1745,Glmp,Pkdcc,,FAM120C,,,,,
1746,Glod4,Pkib,,Fabp2,,,,,
1747,Glrx,Pklr,,Fabp7,,,,,
1748,Glrx2,Pkn1,,Fadd,,,,,
1749,Glrx3,Pla2g1b,,Fads2,,,,,
1750,Gls2,Pla2g2a,,Faf1,,,,,
1751,Glt8d1,Plau,,Faim,,,,,
1752,Gltscr2,Plcb3,,Fam102a,,,,,
1753,Glud1,Plcd3,,Fam102b,,,,,
1754,Gm5471,Plcd4,,Fam104a,,,,,
1755,Gm8225,Plce1,,Fam114a1,,,,,
1756,Gmeb2,Plcl1,,Fam114a2,,,,,
1757,Gmfb,Plekha6,,Fam117a,,,,,
1758,Gmfg,Plekhf1,,Fam120a,,,,,
1759,Gmnn,Plekhg1,,Fam122b,,,,,
1760,Gmppa,Plekhg2,,Fam124a,,,,,
1761,Gmps,Plekhg5,,Fam129a,,,,,
1762,Gna12,Plekho2,,Fam134b,,,,,
1763,Gnai3,Plk1,,Fam13a,,,,,
1764,Gnaq,Plk3,,Fam151b,,,,,
1765,Gnas,Plp1,,Fam154a,,,,,
1766,Gnb1,Plppr5,,Fam156b,,,,,
1767,Gnb2,Plscr4,,Fam160a1,,,,,
1768,Gng11,Plxdc1,,Fam160b1,,,,,
1769,Gng2,Plxna4,,Fam161b,,,,,
1770,Gngt2,Plxnb1,,Fam163b,,,,,
1771,Gnl3,Plxnd1,,Fam167a,,,,,
1772,Gnpda1,Pm20d1,,Fam168a,,,,,
1773,Gns,Pm20d2,,Fam171b,,,,,
1774,Golga1,Pnldc1,,Fam173b,,,,,
1775,Golga7,Pnpla3,,Fam174a,,,,,
1776,Golm1,Pnpla6,,Fam175a,,,,,
1777,Golph3,Pofut1,,Fam178b,,,,,
1778,Golph3l,Pole,,Fam179b,,,,,
1779,Gorasp1,Pole3,,Fam183b,,,,,
1780,Gorasp2,Polr3b,,Fam186b,,,,,
1781,Gosr2,Polr3g,,Fam189a1,,,,,
1782,Gpank1,Pon3,,Fam189b,,,,,
1783,Gpatch2l,Pop7,,Fam192a,,,,,
1784,Gpatch3,Pou2f1,,Fam198a,,,,,
1785,Gpatch4,Pou2f2,,Fam199x,,,,,
1786,Gpbp1,Ppan,,Fam19a2,,,,,
1787,Gpbp1l1,Ppcdc,,Fam19a5,,,,,
1788,Gpc2,Ppcs,,Fam205c,,,,,
1789,Gpd1l,Ppfia2,,Fam208b,,,,,
1790,Gpi,Ppfia3,,Fam20b,,,,,
1791,Gpkow,Ppid-ps1,,Fam212a,,,,,
1792,Gpm6a,Ppm1b,,Fam213a,,,,,
1793,Gpnmb,Ppm1f,,Fam214a,,,,,
1794,Gpr108,Ppm1k,,Fam214b,,,,,
1795,Gpr155,Ppp1r1a,,Fam220a,,,,,
1796,Gpr156,Ppp1r32,,Fam221a,,,,,
1797,Gpr162,Ppp2r1b,,Fam222b,,,,,
1798,Gpr173,Ppp2r3c,,Fam227a,,,,,
1799,Gpr176,Pqlc2,,Fam228a,,,,,
1800,Gpr183,Pqlc3,,Fam234b,,,,,
1801,Gpr34,Prcp,,Fam32a,,,,,
1802,Gprasp2,Prdm2,,Fam45a,,,,,
1803,Gprc5b,Prelid2,,Fam49a,,,,,
1804,Gps1,Prickle3,,Fam53b,,,,,
1805,Gpsm3,Primpol,,Fam57a,,,,,
1806,Gpx1,Prkacb,,Fam63a,,,,,
1807,Grap,Prkce,,Fam63b,,,,,
1808,Grb10,Prkci,,Fam69a,,,,,
1809,Grb2,Prkcz,,Fam69b,,,,,
1810,Grb7,Prkd1,,Fam69c,,,,,
1811,Grhl3,Prkrip1,,Fam71d,,,,,
1812,Grifin,Prmt1,,Fam71e2,,,,,
1813,Grik1,Prodh1,,Fam71f2,,,,,
1814,Grina,Prom1,,Fam72a,,,,,
1815,Grk4,Proser2,,Fam76a,,,,,
1816,Grn,Proz,,Fam78a,,,,,
1817,Grpel1,Prpf18,,Fam81a,,,,,
1818,Grtp1,Prpf6,,Fam83h,,,,,
1819,Gsk3b,Prr11,,Fam8a1,,,,,
1820,Gspt2,Prr15,,Fam98a,,,,,
1821,Gsta1,Prrx1,,Fanca,,,,,
1822,Gstm3,Prss23,,Fancd2,,,,,
1823,Gstp1,Prss30,,Fancd2os,,,,,
1824,Gstt1,Prune2,,Fancg,,,,,
1825,Gtdc1,Psd3,,Fanci,,,,,
1826,Gtf2a1,Psen2,,Fancl,,,,,
1827,Gtf2e2,Psmb6,,Fank1,,,,,
1828,Gtf2f2,Psmb9,,Fap,,,,,
1829,Gtf2h2,Psmd10,,Fars2,,,,,
1830,Gtf2h3,Psme2,,Faslg,,,,,
1831,Gtf3a,Psrc1,,Fbf1,,,,,
1832,Gtf3c5,Pstpip1,,Fblim1,,,,,
1833,Gtpbp1,Ptbp3,,Fbln1,,,,,
1834,Gtpbp4,Ptch2,,Fbp1,,,,,
1835,Gtpbp8,Ptchd1,,Fbrs,,,,,
1836,Gtse1,Pten,,Fbxl13,,,,,
1837,Guk1,Ptges,,Fbxl18,,,,,
1838,Gusb,Ptges3l1,,Fbxl19,,,,,
1839,Gyg1,Ptgis,,Fbxl4,,,,,
1840,Gypc,Ptgr2,,Fbxl6,,,,,
1841,Gys1,Ptgs1,,Fbxo17,,,,,
1842,Gzmm,Ptk2b,,Fbxo21,,,,,
1843,H2afj,Ptk7,,Fbxo31,,,,,
1844,H2afv,Ptov1,,Fbxo32,,,,,
1845,H2afy,Ptpdc1,,Fbxo36,,,,,
1846,H2afz,Ptpn14,,Fbxo38,,,,,
1847,H3f3b,Ptpn23,,Fbxo39,,,,,
1848,H3f3c,Ptprb,,Fbxo4,,,,,
1849,Hacd1,Ptprcap,,Fbxo42,,,,,
1850,Hacl1,Ptprn,,Fbxo46,,,,,
1851,Hadha,Ptx3,,Fbxo48,,,,,
1852,Hadhb,Pura,,Fbxo9,,,,,
1853,Hagh,Pus7,,Fbxw5,,,,,
1854,Hand2,Pxmp2,,Fcer2,,,,,
1855,Has3,Pycard,,Fcgbpl1,,,,,
1856,Hat1,Pygm,,Fcgr3a,,,,,
1857,Haus8,Pym1,,Fcrl1,,,,,
1858,Havcr2,Pyroxd1,,Fdx1l,,,,,
1859,Hax1,Qrich2,,Fdxr,,,,,
1860,Hcar2,R3hcc1l,,Fer1l4,,,,,
1861,Hccs,R3hdm2,,Fes,,,,,
1862,Hcfc1r1,RGD1302996,,Fezf1,,,,,
1863,Hck,RGD1304810,,Fgd1,,,,,
1864,Hcn3,RGD1305350,,Fgd6,,,,,
1865,Hcst,RGD1305587,,Fgf13,,,,,
1866,Hdac8,RGD1305928,,Fgf14,,,,,
1867,Hddc3,RGD1306148,,Fgf16,,,,,
1868,Hdgf,RGD1306215,,Fgf5,,,,,
1869,Heatr1,RGD1306271,,Fgf8,,,,,
1870,Heatr3,RGD1306484,,Fgf9,,,,,
1871,Heatr5a,RGD1306954,,Fgfbp3,,,,,
1872,Heatr6,RGD1307315,,Fgfr1op,,,,,
1873,Hebp1,RGD1307461,,Fhdc1,,,,,
1874,Hectd2,RGD1307704,,Fhod1,,,,,
1875,Helb,RGD1307947,,Fibin,,,,,
1876,Heph,RGD1308065,,Ficd,,,,,
1877,Herc2,RGD1308428,,Fig4,,,,,
1878,Herc4,RGD1309036,,Fiz1,,,,,
1879,Heyl,RGD1309170,,Fkbp10,,,,,
1880,Hfe,RGD1310127,,Fkbp4,,,,,
1881,Hhex,RGD1310166,,Fkbp7,,,,,
1882,Hic2,RGD1310209,,Flcn,,,,,
1883,Hif1a,RGD1310507,,Flnc,,,,,
1884,Hif1an,RGD1310819,,Flrt3,,,,,
1885,Higd2a,RGD1311739,,Flt3,,,,,
1886,Higd2al1,RGD1311805,,Flvcr1,,,,,
1887,Hinfp,RGD1311892,,Flvcr2,,,,,
1888,Hint1,RGD1311899,,Fmn1,,,,,
1889,Hipk2,RGD1559808,,Fmo1,,,,,
1890,Hirip3,RGD1560073,,Fmo5,,,,,
1891,Hist1h2af,RGD1560394,,Fmod,,,,,
1892,Hist1h2ah,RGD1561034,,Fmr1,,,,,
1893,Hist1h2an,RGD1561453,,Fn3krp,,,,,
1894,Hist1h2bcl1,RGD1561558,,Fndc3a,,,,,
1895,Hist1h2bk,RGD1561730,,Fndc3b,,,,,
1896,Hist1h4m,RGD1561778,,Fndc4,,,,,
1897,Hist2h2aa2,RGD1561796,,Fndc5,,,,,
1898,Hist2h2aa3,RGD1561853,,Fntb,,,,,
1899,Hist2h2ac,RGD1561897,,Folr1,,,,,
1900,Hist2h3c2,RGD1561919,,Foxc1,,,,,
1901,Hivep3,RGD1561931,,Foxf1,,,,,
1902,Hjurp,RGD1562055,,Foxh1,,,,,
1903,Hk2,RGD1562107,,Foxk1,,,,,
1904,Hk3,RGD1562114,,Foxm1,,,,,
1905,Hlx,RGD1562265,,Foxp1,,,,,
1906,Hmcn1,RGD1563072,,Foxq1,,,,,
1907,Hmga1,RGD1563159,,Foxr1,,,,,
1908,Hmgb1,RGD1563307,,Foxred1,,,,,
1909,Hmgb2,RGD1563962,,Foxred2,,,,,
1910,Hmgb2l1,RGD1563991,,Foxs1,,,,,
1911,Hmgb3,RGD1564801,,Fpgt,,,,,
1912,Hmgn1,RGD1565317,,Fpr-rs6,,,,,
1913,Hmgxb4,RGD1565355,,Fpr2,,,,,
1914,Hn1,RGD1566099,,Fra10ac1,,,,,
1915,Hnrnpa1,RT1-CE1,,Frem1,,,,,
1916,Hnrnpc,RT1-CE3,,Frmd4b,,,,,
1917,Hnrnpd,RT1-CE4,,Frmd5,,,,,
1918,Hnrnpk,RT1-M10-2-ps,,Frmd7,,,,,
1919,Hnrnpl,RT1-M10-4-ps,,Frmd8,,,,,
1920,Hnrnpu,RT1-M3-1,,Frmpd1,,,,,
1921,Hnrnpul1,RT1-M6-2,,Frs2,,,,,
1922,Homer2,Rab15,,Frzb,,,,,
1923,Homer3,Rab25,,Fst,,,,,
1924,Homez,Rab2b,,Fstl3,,,,,
1925,Hook1,Rab39a,,Ftl1,,,,,
1926,Hook2,Rab3c,,Fuk,,,,,
1927,Hoxa5,Rab3d,,Fut10,,,,,
1928,Hoxb3,Rab3ip,,Fxyd3,,,,,
1929,Hoxb5,Rab40c,,Fxyd7,,,,,
1930,Hoxb9,Rab4b,,Fyb,,,,,
1931,Hoxc9,Rabep1,,Fyttd1,,,,,
1932,Hoxd8,Rabif,,Fzd1,,,,,
1933,Hp1bp3,Rad17,,Fzd6,,,,,
1934,Hpf1,Rad51b,,Fzd7,,,,,
1935,Hpgds,Rad9b,,G0s2,,,,,
1936,Hprt1,Radil,,G6b,,,,,
1937,Hps3,Rala,,G6pc3,,,,,
1938,Hpse,Ralbp1,,Gab1,,,,,
1939,Hpse2,Ralgapa2,,Gabarapl1,,,,,
1940,Hs3st1,Ramp3,,Gabbr2,,,,,
1941,Hsbp1,Ranbp17,,Gabpb1l,,,,,
1942,Hscb,Ranbp3,,Gabra5,,,,,
1943,Hsd17b1,Rap1gap,,Gabrb1,,,,,
1944,Hsd17b10,Rapgef1,,Gabrb3,,,,,
1945,Hsd17b11,Rapgefl1,,Gabrg2,,,,,
1946,Hsd17b12,Rarres1,,Gabrg3,,,,,
1947,Hsd17b8,Rasgrf1,,Gabrr2,,,,,
1948,Hsd3b7,Rasgrp4,,Gabrr3,,,,,
1949,Hsdl2,Rasip1,,Gadd45b,,,,,
1950,Hsf2bp,Rasl10a,,Gal3st1,,,,,
1951,Hsp90ab1,Rassf8,,Gal3st2,,,,,
1952,Hspa12a,Rbak,,Gal3st3,,,,,
1953,Hspa12b,Rbks,,Gal3st4,,,,,
1954,Hspa1l,Rbm27,,Gale,,,,,
1955,Hspa8,Rbm28,,Galk1,,,,,
1956,Hspa9,Rbm34,,Galns,,,,,
1957,Hspb6,Rbm44,,Galnt10,,,,,
1958,Hspbp1,Rbm46,,Galnt16,,,,,
1959,Hspd1,Rbp2,,Galnt18,,,,,
1960,Hspe1,Rcc2,,Galnt3,,,,,
1961,Htatsf1,Rcor1,,Galnt5,,,,,
1962,Htt,Rd3,,Galnt7,,,,,
1963,Hunk,Rdm1,,Galp,,,,,
1964,Hus1,Rec114,,Galt,,,,,
1965,Hvcn1,Recql,,Gas2,,,,,
1966,Hypk,Reep2,,Gata2,,,,,
1967,Iah1,Reep4,,Gata3,,,,,
1968,Ica1,Renbp,,Gata5,,,,,
1969,Icam1,Rerg,,Gatad2a,,,,,
1970,Icam2,Rest,,Gatb,,,,,
1971,Ice1,Rev1,,Gbe1,,,,,
1972,Ick,Rexo1,,Gbp4,,,,,
1973,Icmt,Rfc5,,Gca,,,,,
1974,Id2,Rflnb,,Gcg,,,,,
1975,Idh3B,Rfpl4a,,Gch1,,,,,
1976,Idh3a,Rftn1,,Gcm2,,,,,
1977,Ier2,Rfx7,,Gcn1l1,,,,,
1978,Iffo1,Rgcc,,Gcnt2,,,,,
1979,Ifi27,Rgl1,,Gdap1l1,,,,,
1980,Ifi27l2b,Rgs16,,Gdf10,,,,,
1981,Ifi30,Rgs20,,Gdf11,,,,,
1982,Ifi35,Rgs8,,Gdf3,,,,,
1983,Ifih1,Rhbdf1,,Gdf7,,,,,
1984,Ifit2,Rhbdl1,,Gdi1,,,,,
1985,Ifit3,Rhbdl3,,Gdpd5,,,,,
1986,Ifnar1,Rhog,,Gfm1,,,,,
1987,Ifnlr1,Ric1,,Gfra1,,,,,
1988,Ifrd1,Ric8a,,Gfra2,,,,,
1989,Ift140,Rilpl1,,Gfra3,,,,,
1990,Ift172,Rilpl2,,Ggct,,,,,
1991,Ift57,Rims1,,Ggcx,,,,,
1992,Ift88,Rin1,,Ggt1,,,,,
1993,Igbp1,Rin2,,Ggta1,,,,,
1994,Igf2r,Ripk1,,Ggta1l1,,,,,
1995,Igfbp3,Rln1,,Gh1,,,,,
1996,Igfbp7,Rmnd5a,,Ghdc,,,,,
1997,Igflr1,Rn50_10_0644.1,,Gid8,,,,,
1998,Ighmbp2,Rn50_10_0698.7,,Gimap8,,,,,
1999,Igsf6,Rn50_10_0705.2,,Ginm1,,,,,
2000,Igsf7,Rn50_13_0828.3,,Gip,,,,,
2001,Igsf9b,Rn50_13_0837.3,,Gipr,,,,,
2002,Ikbkg,Rn50_17_0383.1,,Git2,,,,,
2003,Ikzf2,Rn50_1_1354.1,,Gjb2,,,,,
2004,Il10,Rn50_1_2448.1,,Gjb4,,,,,
2005,Il13ra1,Rn50_2_1403.1,,Gla,,,,,
2006,Il15ra,Rn50_2_1764.2,,Glce,,,,,
2007,Il17rc,Rn50_2_2782.1,,Gldc,,,,,
2008,Il18,Rn50_4_0553.2,,Gldn,,,,,
2009,Il1a,Rn50_5_0814.25,,Gle1,,,,,
2010,Il1b,Rn50_5_0814.28,,Gli2,,,,,
2011,Il1r2,Rn50_5_1085.1,,Gli3,,,,,
2012,Il1rl1,Rn50_5_1607.1,,Glis2,,,,,
2013,Il1rn,Rn50_6_0926.1,,Glmn,,,,,
2014,Il23a,Rn50_6_0926.2,,Glo1,,,,,
2015,Il2rg,Rn50_7_1168.2,,Glp1r,,,,,
2016,Il4i1,Rn50_7_1407.1,,Glra2,,,,,
2017,Il4r,Rn50_X_0632.1,,Glra4,,,,,
2018,Il6r,Rn50_X_0640.3,,Gltpd2,,,,,
2019,Ilf2,Rn50_X_0647.1,,Glyatl3,,,,,
2020,Immt,Rn50_X_0667.2,,Gm17728,,,,,
2021,Imp4,Rn50_X_0689.1,,Gmpr,,,,,
2022,Impa2,Rn50_X_0695.1,,Gna11,,,,,
2023,Ing1,Rn50_X_0719.1,,Gnal,,,,,
2024,Ing2,Rn50_X_0730.3,,Gnao1,,,,,
2025,Ing3,Rn50_X_0745.4,,Gnat3,,,,,
2026,Inip,Rn60_10_0911.2,,Gnb1l,,,,,
2027,Ino80c,Rn60_11_0605.1,,Gnb4,,,,,
2028,Inpp4b,Rn60_12_0160.2,,Gnb5,,,,,
2029,Inpp5d,Rn60_12_0305.2,,Gne,,,,,
2030,Inpp5f,Rn60_13_0702.4,,Gng13,,,,,
2031,Insl6,Rn60_14_0082.1,,Gng3,,,,,
2032,Ints3,Rn60_14_0792.1,,Gnl1,,,,,
2033,Ints4,Rn60_15_0618.1,,Gnpda2,,,,,
2034,Ints6l,Rn60_16_0588.3,,Gnrh1,,,,,
2035,Ints9,Rn60_16_0590.1,,Golga3,,,,,
2036,Ip6k1,Rn60_18_0172.2,,Golga4,,,,,
2037,Ipo13,Rn60_20_0051.7,,Golgb1,,,,,
2038,Ipo4,Rn60_20_0055.9,,Golt1b,,,,,
2039,Ipo9,Rn60_2_1852.1,,Gon4l,,,,,
2040,Iqca1l,Rn60_3_0143.1,,Gon7,,,,,
2041,Iqch,Rn60_4_0169.1,,Got1,,,,,
2042,Iqgap3,Rn60_4_1482.2,,Got1l1,,,,,
2043,Irak1,Rn60_4_1484.2,,Gp9,,,,,
2044,Irf5,Rn60_6_0143.1,,Gpam,,,,,
2045,Irf8,Rn60_7_0127.5,,Gpat4,,,,,
2046,Isca2,Rn60_7_1026.2,,Gpatch1,,,,,
2047,Isy1,Rn60_7_1215.3,,Gpatch11,,,,,
2048,Itgal,Rn60_7_1218.2,,Gpc3,,,,,
2049,Itgax,Rn60_X_0210.1,,Gpc4,,,,,
2050,Itgb1,Rn60_X_0772.2,,Gpd1,,,,,
2051,Itgb6,Rn60_X_0773.5,,Gpd2,,,,,
2052,Itm2b,Rn60_X_0777.2,,Gphn,,,,,
2053,Itpr1,Rnaset2,,Gpihbp1,,,,,
2054,Itpripl1,Rnd1,,Gpn1,,,,,
2055,Itsn2,Rnf103,,Gpr1,,,,,
2056,Ivns1abp,Rnf144b,,Gpr119,,,,,
2057,Iws1,Rnf146,,Gpr132,,,,,
2058,Jade1,Rnf17,,Gpr15,,,,,
2059,Jade3,Rnf212,,Gpr151,,,,,
2060,Jakmip2,Rnf213,,Gpr161,,,,,
2061,Jam2,Rnf214,,Gpr17,,,,,
2062,Jam3,Rnft2,,Gpr182,,,,,
2063,Jarid2,Rogdi,,Gpr27,,,,,
2064,Jazf1,Ror1,,Gpr3,,,,,
