,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
61,AABR07010421.1,AABR07021840.1,AABR07014125.1,AABR07006544.1,AABR07044079.1,Bmyc,AABR07037395.1,AABR07024951.1,Dusp19
62,AABR07010649.1,AABR07024491.1,AABR07014323.1,AABR07006619.1,AABR07044796.1,Bpnt1,AABR07039234.1,AABR07025386.1,Ece1
63,AABR07010682.1,AABR07024833.1,AABR07014512.1,AABR07006727.1,AABR07044962.1,Bsdc1,AABR07039377.1,AABR07025953.1,Echdc1
64,AABR07010986.1,AABR07025051.3,AABR07014630.1,AABR07006888.1,AABR07046669.1,Btbd10,AABR07043101.1,AABR07026509.1,Eif1a
65,AABR07011031.1,AABR07025316.1,AABR07014885.1,AABR07006894.1,AABR07048308.3,Calhm2,AABR07043421.1,AABR07026517.1,Etv5
66,AABR07011682.1,AABR07025757.1,AABR07015067.1,AABR07007055.1,AABR07050135.1,Camk1,AABR07043748.1,AABR07026984.1,Fam46a
67,AABR07011697.1,AABR07025986.2,AABR07015081.1,AABR07007134.1,AABR07050484.1,Cd24,AABR07044631.1,AABR07027381.1,Fbln2
68,AABR07011746.1,AABR07026002.1,AABR07015112.1,AABR07007584.3,AABR07051515.2,Cdc42bpa,AABR07048308.2,AABR07028917.1,Fbln5
69,AABR07012054.1,AABR07026294.1,AABR07015165.1,AABR07007798.1,AABR07051666.1,Cdh3,AABR07048653.1,AABR07029451.1,Fbxo25
70,AABR07012492.1,AABR07026842.1,AABR07015647.1,AABR07007799.1,AABR07052504.1,Cdh6,AABR07049149.1,AABR07029901.1,Fdft1
71,AABR07012582.1,AABR07027212.1,AABR07015654.1,AABR07008016.1,AABR07052897.2,Cep170b,AABR07049405.1,AABR07030823.1,Fli1
72,AABR07012582.2,AABR07027753.2,AABR07015977.1,AABR07008066.2,AABR07053470.1,Cep63,AABR07049918.1,AABR07030919.1,Fosb
