,T1,T2,T3
Agrp,115.0433275,128.3214684,13.43148102
Agt,0.730515177,0,1.553234618
Agtpbp1,111.8477007,152.7024958,170.4307331
Agtr1a,264.090267,396.8504751,300.2264819
Agtr1b,0,0.055778118,0.131124053
Agtr2,11977.86356,13862.70436,10742.65082
Agtrap,158.3463001,96.82772724,132.6092368
Ahctf1,193.6911166,178.6494697,99.42305359
Ahcy,3013.470451,3732.750769,1695.403806
Ahcyl1,1128.518781,1060.951142,1323.663975
Ahcyl2,67.17714109,65.46821637,174.1576215
Ahdc1,33.34341253,40.15458109,27.34726087
Ahi1,211.0336683,255.6377023,230.7208659
Ahnak,4986.989804,3580.51651,3188.127747
Ahnak2,0,3.741301802,0.506425793
Ahr,160.4262238,242.173983,188.3740558
Ahrr,13.61108924,3.092526699,0.158935414
Ahsa1,2885.975047,2676.562244,1991.669176
Ahsa2,602.5312025,752.8602175,478.4417736
Ahsp,94.41349905,0,0
Aicda,24.90710644,0,3.617854845
Aida,990.5250168,953.224243,628.6098393
Aif1,7379.602909,1888.90695,421.0476346
Aif1l,4895.742176,5331.197334,4818.601836
Aifm1,739.8536195,829.9801763,407.7996471
Aifm2,116.0224511,136.2863811,133.346415
Aifm3,1.540638412,19.45741765,0
Aig1,147.7473951,278.8656818,133.8851726
Aim1,4.052110343,0.870105968,0
Aim1l,0,11.33394711,0
Aim2,6.306333255,85.4893514,0
Aimp1,5561.816669,4607.05601,3964.3768
Aimp2,1842.420065,2108.87752,1401.83774
Aip,1624.419012,1661.912906,806.8925578
Ajap1,71.35798905,155.4681243,208.2846792
Ajuba,12.98523544,64.59361822,10.12816341
Ak1,805.5906489,446.4077445,929.7435551
Ak2,1452.480801,865.8325081,577.6662538
Ak3,1097.727638,497.1600346,416.689375
Ak4,21.24188806,15.13793035,0
Ak5,182.6567654,0,0
Ak6,5552.123874,5091.977597,3413.013224
Ak9,0.855406577,2.343372715,0.514142155
Akap1,92.2813601,111.7560498,105.3581231
Akap10,89.34205686,66.62237777,93.92973881
Akap11,159.8073573,172.6703945,116.8770214
Akap12,809.4036904,1160.098601,1004.565189
Akap13,411.3911646,429.1892146,463.7876582
Akap14,0.319849173,0.252253552,0
Akap17a,77.02939229,78.74041432,73.92628965
Akap17b,11.96596488,12.55688374,10.64156868
Akap2,450.6357581,375.0834772,115.2067573
Akap5,7.690209595,105.9743873,25.47048496
Akap6,2.126507283,3.207845216,0
Akap7,12.14021501,9.996792607,0
Akap8,452.3245516,282.8193069,278.6778997
Akap8l,153.6098205,297.4905333,360.029022
Akap9,214.4698682,241.3490796,227.8741587
Akip1,362.3540001,276.2464575,132.475112
Akirin1,822.2691633,605.2771679,330.9461092
Akirin2,734.6546996,587.9371933,615.699893
Akna,179.6510784,85.03216932,20.93016504
Aknad1,15.89721136,0.239006778,41.76029115
Akr1a1,35843.65235,35211.8987,23309.88566
Akr1b1,15481.89676,11220.57498,8301.066934
Akr1b10,398.9896554,59.58749913,857.9080434
Akr1b7,0.090981357,133.0648247,27.80482211
Akr1c13,0,0.378332222,0
Akr1c14,46.7314696,81.47848301,0
Akr1c19,130.9156828,121.2518106,14.97621567
Akr1d1,0.0286771,0,0
Akr1e2,159.3560307,331.7588823,89.4295589
Akr7a2,365.1273643,267.7804491,280.2769255
Akr7a3,0,4.212390474,0
Akt1,1743.297764,2555.556266,1800.245784
Akt1s1,293.1502133,316.1929943,191.2210475
Akt2,353.0042483,206.2815829,250.2530047
Akt3,294.6418024,111.0679943,59.2647608
Aktip,862.9816562,779.7845456,453.8133639
Alad,829.3871345,659.4429213,1401.850404
Alas1,365.5884207,219.7969638,140.9049922
Alas2,1.941093714,0.533055973,0.637627715
Alb,0.195727521,0,0
Alcam,429.7725441,405.0464313,430.2420236
Aldh16a1,82.17055416,84.71748481,29.67603411
Aldh18a1,363.4194661,487.8876405,251.4150868
Aldh1a1,233.1673568,456.4674848,48.912102
Aldh1a2,213.9536011,612.3272487,61.6669071
Aldh1a3,401.7765103,476.9615868,178.9790534
Aldh1a7,0.286756725,0.465177348,0.161873107
Aldh1l2,6.177804229,37.35977463,37.86769235
Aldh2,73.59603676,223.2917616,10.00723931
Aldh3a1,0,14.39746793,0
Aldh3a2,362.1376145,777.5599858,413.5349568
Aldh3b1,0,0,4.953769042
Aldh5a1,0.991332151,22.87596338,13.85739321
Aldh6a1,497.5270675,352.5919561,372.9735009
Aldh7a1,3029.257415,3555.665043,2253.191116
Aldh8a1,1.183366225,0,0
Aldh9a1,1447.22379,835.9302361,372.2749726
Aldoa,22337.82214,23330.33636,13309.94397
Aldoart2,28.91783675,18.79847419,180.1228749
Aldob,0,48.30900542,0
Aldoc,244.2688196,923.6813488,654.6136114
Alg1,75.35021015,61.73386433,42.1909525
Alg10,117.765435,204.037996,12.59167217
Alg11,596.1416899,1165.799401,711.0405605
Alg12,363.0491967,220.9431353,155.1599485
Alg13,1926.121124,1180.670639,853.8438625
Alg14,1010.835505,828.1146052,818.6479498
Alg2,409.2797048,322.3654662,241.8000779
Alg3,1240.05904,908.4515976,788.924456
Alg5,2604.911615,1798.824573,931.9533625
Alg6,360.8445327,530.7537681,328.8116926
Alg8,1061.471495,671.0465557,438.8211786
Alg9,238.7822302,135.1150149,88.41927123
Alk,55.46121587,0.576063408,0.447171938
Alkbh1,1102.358763,1013.422404,913.0738513
Alkbh2,38.9018735,9.805170563,10.21198561
Alkbh3,2327.304997,1025.109291,850.3235241
Alkbh4,389.7725735,72.02128724,30.04870144
Alkbh5,717.1926385,814.156575,659.4344105
Alkbh6,328.2504636,402.5031858,285.4490121
Alkbh7,521.964511,679.5787076,233.1340724
Alkbh8,61.6162332,356.3478997,89.91142495
Allc,0,0,0.555919033
Alms1,95.25968879,94.06890048,35.65406453
Alox12,1.115974243,1.821333187,5.443052283
Alox12e,0,2.621122015,0
Alox15,7.816325708,2.988559717,3.367453412
Alox5,0.587980012,14.0987192,0.003927853
Alox5ap,4872.791277,1302.085466,363.775987
Aloxe3,0,55.246037,0
Alpi,0,0,1.6385064
Alpk1,60.0405935,57.93099087,1.818095008
Alpk2,1.125138189,6.176617299,11.55356412
